Sector,Volume,Values,Rises,Falls,Unchanged
"Multi-Industry",1.5378E7,5.1673084E7,8,5,6
"Manufacturing",4.825136E8,9.8867611E7,36,47,165
"Construction",6.77351E7,2010830.0,9,9,23
"Commerce",1.222813E8,5.3320121E7,10,26,64
"Hotels/Restaurants",803800.0,562496.0,2,5,11
"Transport/Storage/Communications",1.8324789E8,1.65001174E8,11,17,15
"Finance",2.13237E7,1.77557872E8,6,17,20
"Properties",1.198819E8,1.9584052E8,19,27,38
"Services",2.8730351E8,9.00922E7,32,40,86
"Agriculture",4.108E7,2.3185332E7,4,4,1
"Mining",4.57046E7,5177869.0,0,7,9
"Electricity/Gas/Water",2272500.0,1156581.0,0,1,1
"Shares in Foreign Currencies",1.8072198E7,1.08118715E8,8,30,101
